Sample,Well
Alpha-keto-gamma-(methylthio)butyrate acid sodium salt,A01
4-hydroxyphenylpyruvic acid,A02
2-oxooctanoic acid,A03
Imidazolepyruvic acid hydrobromide hydrate,A04
2-oxoadipic acid,A05
Trimethylpyruvic acid,A06
Trifluoropyruvic acid hydrate,A07
Mesitylglyoxylic acid,A08
3-methyl-2-oxopentanoic acid sodium salt,A09
Sodium 2-oxobutyrate|A-ketobutyrate,A10
Bromopyruvic acid,A11
Phenylpyruvic acid,A12
2-oxovaleric acid,B01
4-methyl-2-oxovaleric acid,B02
A-ketoglutarate,B03
Pyruvate,B04
A-ketosuberic acid,B05
2-keto-3-deoxy-D-xylonic acid,B06
enzyme control,B07
enzyme control,B08
enzyme control,B09
positive control,B10
positive control,B11
positive control,B12
Pool 1,C01
Pool 2,C02
Pool 3,C03
Pool 4,C04
Pool 5,C05
Pool 6,C06
Pool 7,C07
Pool 8,C08
Pool 9,C09
Pool 10,C10
Pool 11,C11
Pool 12,C12
Pool 13,D01
Pool 14,D02
Pool 15,D03
Pool 16,D04
Pool 17,D05
Pool 18,D06
Pool 19,D07
Pool 20,D08
Pool 21,D09
Pool 22,D10
Pool 23,D11
Pool 24,D12
Pool 1,E01
Pool 2,E02
Pool 3,E03
Pool 4,E04
Pool 5,E05
Pool 6,E06
Pool 7,E07
Pool 8,E08
Pool 9,E09
Pool 10,E10
Pool 11,E11
Pool 12,E12
Pool 13,F01
Pool 14,F02
Pool 15,F03
Pool 16,F04
Pool 17,F05
Pool 18,F06
Pool 19,F07
Pool 20,F08
Pool 21,F09
Pool 22,F10
Pool 23,F11
Pool 24,F12
Pool 1,G01
Pool 2,G02
Pool 3,G03
Pool 4,G04
Pool 5,G05
Pool 6,G06
Pool 7,G07
Pool 8,G08
Pool 9,G09
Pool 10,G10
Pool 11,G11
Pool 12,G12
Pool 13,H01
Pool 14,H02
Pool 15,H03
Pool 16,H04
Pool 17,H05
Pool 18,H06
Pool 19,H07
Pool 20,H08
Pool 21,H09
Pool 22,H10
Pool 23,H11
Pool 24,H12
