Source Plate,Source Well,Destination Plate,Destination Well,Volume
Source,P02,Destination,O23,880.0
Source,P02,Destination,G15,335.0
Source,P02,Destination,K05,740.0
Source,P02,Destination,O05,740.0
Source,P02,Destination,G07,940.0
Source,P02,Destination,K07,940.0
Source,P02,Destination,O07,940.0
Source,P02,Destination,K09,482.5
Source,P02,Destination,O09,482.5
Source,P02,Destination,G11,517.5
Source,P02,Destination,K11,517.5
Source,P02,Destination,O11,517.5
Source,P02,Destination,K13,250.0
Source,P02,Destination,O13,250.0
Source,P02,Destination,G09,482.5
Source,P02,Destination,K15,335.0
Source,P02,Destination,O19,670.0
Source,P02,Destination,O15,335.0
Source,P02,Destination,K23,880.0
Source,P02,Destination,G23,880.0
Source,P02,Destination,O21,140.0
Source,P02,Destination,G21,140.0
Source,P02,Destination,K21,140.0
Source,P02,Destination,K19,670.0
Source,P02,Destination,G19,670.0
Source,P02,Destination,O17,972.5
Source,P02,Destination,K17,972.5
Source,P02,Destination,G17,972.5
Source,P01,Destination,M13,830.0
Source,P01,Destination,E09,832.5
Source,P01,Destination,E15,147.5
Source,P01,Destination,I13,830.0
Source,P01,Destination,E13,830.0
Source,P01,Destination,M11,547.5
Source,P01,Destination,I11,547.5
Source,P01,Destination,E11,547.5
Source,P01,Destination,M09,832.5
Source,P01,Destination,I09,832.5
Source,P01,Destination,E05,247.5
Source,P01,Destination,M07,752.5
Source,P01,Destination,I07,752.5
Source,P01,Destination,E07,752.5
Source,P01,Destination,M05,247.5
Source,P01,Destination,I05,247.5
Source,P01,Destination,M03,635.0
Source,P01,Destination,I03,635.0
Source,P01,Destination,M15,147.5
Source,P01,Destination,E03,635.0
Source,P01,Destination,I15,147.5
Source,P01,Destination,K01,855.0
Source,P01,Destination,E17,387.5
Source,P01,Destination,M23,547.5
Source,P01,Destination,G13,250.0
Source,P01,Destination,G05,740.0
Source,P01,Destination,O03,685.0
Source,P01,Destination,K03,685.0
Source,P01,Destination,G03,685.0
Source,P01,Destination,O01,855.0
