,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,9,0,9,0,9,0,9,0,9,0,9,0,7,0,7,0,7,0,7,0,7,0,7,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,4,0,6,0,7,0,7,0,7,0,6,0,4,0,7,0,4,0,7,0,4,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,7,0,3,0,3,0,5,0,6,0,7,0,6,0,7,0,3,0,4,0,2,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,4,0,6,0,7,0,7,0,7,0,6,0,4,0,7,0,4,0,7,0,4,0
J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,7,0,3,0,3,0,5,0,6,0,7,0,6,0,7,0,3,0,4,0,2,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,4,0,6,0,7,0,7,0,7,0,6,0,4,0,7,0,4,0,7,0,4,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,7,0,3,0,3,0,5,0,6,0,7,0,6,0,7,0,3,0,4,0,2,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
