id,detected mass ,MzCORR,RT (min),Identified,Chebi
M62T1189,62.05983021,61.05255021,19.82408333,FALSE,
M85T1577,85.07597909,84.06869909,26.29108333,FALSE,
M87T732,87.04398303,86.03670303,12.19618333,FALSE,
M87T1143,87.09157866,86.08429866,19.0425,FALSE,
M97T241,97.02995877,98.03723877,4.021833333,FALSE,
M100T319,100.0756379,99.06835786,5.312266667,FALSE,
M103T242,103.0041458,104.0114258,4.0367,FALSE,
M103T761_2,103.0190902,104.0263702,12.68158333,FALSE,
M103T1169,103.0865384,102.0792584,19.49083333,FALSE,
M104T568,103.955458,102.948178,9.461775,FALSE,
M111T672,110.9857483,111.9930283,11.20179167,FALSE,
M115T232,115.0404761,116.0477561,3.86025,FALSE,
M115T719,115.0405156,116.0477956,11.98071667,FALSE,
M116T451,116.0357732,117.0430532,7.511041667,FALSE,
M117T1125,117.1021232,116.0948432,18.75733333,FALSE,
M125T932,125.0248793,126.0321593,15.54158333,FALSE,
M127T441,127.05005,126.04277,7.6,FALSE,
M127T1379,127.097682,126.090402,22.98725,FALSE,
M129T746,129.0197251,130.0270051,12.434475,FALSE,
M129T1029,129.0197859,130.0270659,17.15716667,FALSE,
M129T359,129.0656901,128.0584101,5.986375,FALSE,
M129T1345,129.1020337,128.0947537,22.418,FALSE,
M130T452,130.0972853,129.0900053,7.540008333,FALSE,
M131T295,131.0701223,130.0628423,4.9154,FALSE,
M131T692,131.0813211,130.0740411,11.53061667,FALSE,
M133T203,133.0510868,134.0583668,3.381933333,FALSE,
M135T810,135.0914565,134.0841765,13.497375,FALSE,
M136T868,136.0615676,135.0542876,14.46720833,FALSE,
M137T980,137.1070994,136.0998194,16.327125,FALSE,
M141T234,141.102036,140.094756,3.893066667,FALSE,
M142T724,142.0860824,141.0788024,12.070575,FALSE,
M142T497,142.1336647,141.1263847,8.27655,FALSE,
M145T567,144.9818132,143.9745332,9.450183333,FALSE,
M147T177,147.0667548,148.0740348,2.945916667,FALSE,
M148T289,148.060224,147.052944,4.81775,FALSE,
M152T568,152.0358555,153.0431355,9.462891667,FALSE,
M152T228,152.0703291,151.0630491,3.796033333,FALSE,
M152T1205,152.0914389,151.0841589,20.08433333,FALSE,
M153T263,153.1019834,152.0947034,4.390308333,FALSE,
M154T581,153.5701467,154.5774267,9.685833333,FALSE,
M155T903,154.975419,155.982699,15.04535833,FALSE,
M155T222,155.1175983,154.1103183,3.705683333,FALSE,
