,Score,Random State,Number of Features
0,0.21103610757664226,0,2
1,0.38355482377928474,0,3
2,0.47809665011987945,0,4
3,0.48609240132275555,0,5
4,0.510825721418338,0,6
5,0.7435157405912972,0,7
6,0.7487231349878529,0,8
7,0.7215725558687754,0,9
8,0.7010496053254605,0,10
9,0.6641094425177678,0,15
10,0.6751619780541016,0,20
11,0.640255943790609,0,50
12,0.6367621646252303,0,100
13,0.25061283325600936,1,2
14,0.42296366727273227,1,3
15,0.47191752066760395,1,4
16,0.5004905201837706,1,5
17,0.5071976600420371,1,6
18,0.5332003310638356,1,7
19,0.5532910569980125,1,8
20,0.5885407555070844,1,9
21,0.5948565352130806,1,10
22,0.6276279334447068,1,15
23,0.5894062576161593,1,20
24,0.6756143030739583,1,50
25,0.5971962987181394,1,100
26,0.4236165155879932,2,2
27,0.7089421707294907,2,3
28,0.7400715174178725,2,4
29,0.7129459443996029,2,5
30,0.6902482175571403,2,6
31,0.7427829990661492,2,7
32,0.7316062035136198,2,8
33,0.7466267625817354,2,9
34,0.738206726961302,2,10
35,0.7143715449055066,2,15
36,0.65903327567891,2,20
37,0.6295166107824847,2,50
38,0.605160633280891,2,100
39,0.3305473855065584,3,2
40,0.4628887814477535,3,3
41,0.4738941439075719,3,4
42,0.5192300270220289,3,5
43,0.5458559053749615,3,6
44,0.5458630371838762,3,7
45,0.5939010246030305,3,8
46,0.582265114327551,3,9
47,0.5765449317331449,3,10
48,0.5675091666436014,3,15
49,0.5439455958891355,3,20
50,0.6514627572545011,3,50
51,0.5703181592647921,3,100
52,0.3073986680782208,4,2
53,0.44458107926390633,4,3
54,0.5095891292936696,4,4
55,0.4929334214748121,4,5
56,0.5206148034235388,4,6
57,0.566702063568163,4,7
58,0.5328988833785083,4,8
59,0.5272693161636386,4,9
60,0.5949818373352691,4,10
61,0.6951706775388358,4,15
62,0.6994440709019112,4,20
63,0.5903547658432262,4,50
64,0.6071810516890983,4,100
65,0.27155696705420973,5,2
66,0.30530318655548416,5,3
67,0.4443207086092881,5,4
68,0.5066967351538972,5,5
69,0.48723288551326094,5,6
70,0.5068915533033869,5,7
71,0.5500002028562274,5,8
72,0.5301906836684669,5,9
73,0.5810626074738705,5,10
74,0.5190727027624598,5,15
75,0.5596924080835806,5,20
76,0.5718258215831733,5,50
77,0.6305652006934143,5,100
78,0.5049731291074075,6,2
79,0.6153709864577297,6,3
80,0.6615218068398225,6,4
81,0.6967745089393635,6,5
82,0.6537911818474841,6,6
83,0.6918133501058575,6,7
84,0.715306873518379,6,8
85,0.6846167309194764,6,9
86,0.6629391418768606,6,10
87,0.6812421698092777,6,15
88,0.6579623454682775,6,20
89,0.6413655356658303,6,50
90,0.6134563148395618,6,100
91,0.2498886260794676,7,2
92,0.6635839704759167,7,3
93,0.7675457576088195,7,4
94,0.7524026296199784,7,5
95,0.7430718195278008,7,6
96,0.751789093533354,7,7
97,0.734515786203415,7,8
98,0.7198918504751783,7,9
99,0.724997432316419,7,10
100,0.709451970539855,7,15
101,0.6300190761788762,7,20
102,0.6537628937977671,7,50
103,0.5893569551457711,7,100
104,0.5652545128532983,8,2
105,0.7073768518570132,8,3
106,0.7226724716064874,8,4
107,0.7141706868509619,8,5
108,0.6846116008645582,8,6
109,0.6705558781444334,8,7
110,0.6843505610947231,8,8
111,0.6657292595523057,8,9
112,0.7011745763822174,8,10
113,0.6720272215448471,8,15
114,0.6711598192816035,8,20
115,0.6176198208913217,8,50
116,0.6032663802477181,8,100
117,0.534437178710942,9,2
118,0.47661748290274786,9,3
119,0.5268118711723334,9,4
120,0.5655039766811943,9,5
121,0.5507642889205241,9,6
122,0.527219496276663,9,7
123,0.5330420569402363,9,8
124,0.5827501214393942,9,9
125,0.5896200180987989,9,10
126,0.564278616247695,9,15
127,0.5465503046799915,9,20
128,0.6672657718045383,9,50
129,0.6523956432800809,9,100
130,0.5199265719427433,10,2
131,0.7247773327532577,10,3
132,0.704924443876228,10,4
133,0.7179808292606356,10,5
134,0.7451087718691343,10,6
135,0.7361539309437847,10,7
136,0.7366454320815399,10,8
137,0.714549131643732,10,9
138,0.7102605559239301,10,10
139,0.6818166358913438,10,15
140,0.6602857241976041,10,20
141,0.6389412245390516,10,50
142,0.6056921146366401,10,100
143,0.28699211208528497,11,2
144,0.369669451397837,11,3
145,0.42795844951420003,11,4
146,0.4948671346347706,11,5
147,0.696604534193053,11,6
148,0.7211204861175089,11,7
149,0.6836704584116646,11,8
150,0.6909124162426732,11,9
151,0.6668567779517821,11,10
152,0.7188132324947147,11,15
153,0.6936773082508911,11,20
154,0.6508369937824101,11,50
155,0.6069264723953409,11,100
156,0.36088370979367435,12,2
157,0.41237985620367146,12,3
158,0.4095111979897188,12,4
159,0.5033857885300599,12,5
