,Score,Criteria,Random State
0,0.7925809961078232,mae,0
1,0.7815071130783672,mse,0
2,0.8044324767779172,mae,1
3,0.7936772854876188,mse,1
4,0.7735366503514866,mae,2
5,0.7886258457945614,mse,2
6,0.788998520341772,mae,3
7,0.7837101689219044,mse,3
8,0.7711137463477095,mae,4
9,0.7791512172048748,mse,4
10,0.7851847477609373,mae,5
11,0.7964064831144668,mse,5
12,0.7823821918324356,mae,6
13,0.7761646939400197,mse,6
14,0.7718935837249185,mae,7
15,0.7783223108442008,mse,7
16,0.7866551280438568,mae,8
17,0.7740340235997196,mse,8
18,0.7944148419632561,mae,9
19,0.7853104957390151,mse,9
20,0.7937746768144665,mae,10
21,0.7934956415091738,mse,10
22,0.797827418522837,mae,11
23,0.7943854075406955,mse,11
24,0.768960703767367,mae,12
25,0.786467202755909,mse,12
26,0.7704423295051103,mae,13
27,0.7874319482549115,mse,13
28,0.7800160367912505,mae,14
29,0.7812961790585036,mse,14
30,0.7864259730099268,mae,15
31,0.8025009869978273,mse,15
32,0.7744253201733394,mae,16
33,0.7882926931039129,mse,16
34,0.7811825117865754,mae,17
35,0.7831962026290374,mse,17
36,0.786933445096595,mae,18
37,0.7938672681927854,mse,18
38,0.7830287761454984,mae,19
39,0.7785646300352985,mse,19
40,0.7920657055301983,mae,20
41,0.7928949926181686,mse,20
42,0.7945748776198054,mae,21
43,0.7865894405855586,mse,21
44,0.7773249610502199,mae,22
45,0.7846168287825591,mse,22
46,0.7798228660851307,mae,23
47,0.7903898089464484,mse,23
48,0.7958997944444801,mae,24
49,0.7866281104884557,mse,24
50,0.7905146581005176,mae,25
51,0.7786688814972891,mse,25
52,0.7856766762528484,mae,26
53,0.7795565790512452,mse,26
54,0.7694602415333376,mae,27
55,0.7913189370536495,mse,27
56,0.7836644177266513,mae,28
57,0.7815293124629455,mse,28
58,0.7788342290519512,mae,29
59,0.7768276953361004,mse,29
60,0.7794778569717133,mae,30
61,0.7947758191060569,mse,30
62,0.7944465925905582,mae,31
63,0.7911908042655919,mse,31
64,0.7925101866282425,mae,32
65,0.7968490771712156,mse,32
66,0.7959440191851594,mae,33
67,0.7849641747557585,mse,33
68,0.7793316376854368,mae,34
69,0.7805518095298237,mse,34
70,0.786640687594436,mae,35
71,0.7716125825177822,mse,35
72,0.7868263567006544,mae,36
73,0.7803002332541046,mse,36
74,0.7807909524800092,mae,37
75,0.7777559921898696,mse,37
76,0.7773251328054418,mae,38
77,0.7780167547083003,mse,38
78,0.7858755820368268,mae,39
79,0.784517277204164,mse,39
80,0.7896627710171813,mae,40
81,0.7907522009580695,mse,40
82,0.7951613197030168,mae,41
83,0.7887390634711516,mse,41
84,0.7981385216589352,mae,42
85,0.7963381045472238,mse,42
86,0.7888464825239369,mae,43
87,0.7820831307381546,mse,43
88,0.7831958966488682,mae,44
89,0.7914829124594982,mse,44
90,0.7875516850506175,mae,45
91,0.7858898428205604,mse,45
92,0.7874462112700752,mae,46
93,0.7824847627935205,mse,46
94,0.7792276448323606,mae,47
95,0.7761585757164539,mse,47
96,0.7830306095050686,mae,48
97,0.8006624552311824,mse,48
98,0.7856779625764498,mae,49
99,0.7735299689578633,mse,49
100,0.7766813632488873,mae,50
101,0.7762030488674616,mse,50
102,0.7735563769059494,mae,51
103,0.7897796679786622,mse,51
104,0.7795672238332612,mae,52
105,0.7800548209086888,mse,52
106,0.7957976839409598,mae,53
107,0.7877915664739781,mse,53
108,0.7680781230759277,mae,54
109,0.7847983732879511,mse,54
110,0.7873233689748047,mae,55
111,0.7760788982158245,mse,55
112,0.7802323205397422,mae,56
113,0.7884242641855381,mse,56
114,0.7848748239072629,mae,57
115,0.7819105887800261,mse,57
116,0.7852147490294064,mae,58
117,0.7916641502792122,mse,58
118,0.7857129427412186,mae,59
119,0.7927363253586392,mse,59
120,0.7733286017584347,mae,60
121,0.782495729786281,mse,60
122,0.7896447933549822,mae,61
123,0.7871291983602168,mse,61
124,0.7707547434092031,mae,62
125,0.7958078336493911,mse,62
126,0.7860357835208367,mae,63
127,0.7869416747999862,mse,63
128,0.7945456403751457,mae,64
129,0.7847773793282142,mse,64
130,0.7924900383422843,mae,65
131,0.7884567038814457,mse,65
132,0.7860927646730722,mae,66
133,0.7731654689949721,mse,66
134,0.7949061685659609,mae,67
135,0.776601460261904,mse,67
136,0.7742097726582807,mae,68
137,0.7871481373203941,mse,68
138,0.7819535320405713,mae,69
139,0.7888164764881216,mse,69
140,0.7842650636317278,mae,70
141,0.7833477544544923,mse,70
142,0.7858497346072477,mae,71
143,0.776019547484328,mse,71
144,0.7894955037570821,mae,72
145,0.7795602217496884,mse,72
146,0.7807711733875566,mae,73
147,0.7862400840726032,mse,73
148,0.7855869487113956,mae,74
149,0.7779601161040209,mse,74
150,0.7936083665046425,mae,75
151,0.7761779777961025,mse,75
152,0.7903439844209155,mae,76
153,0.7837271923896449,mse,76
154,0.7834341006995766,mae,77
155,0.7838214441634578,mse,77
156,0.783347213352184,mae,78
157,0.78818506095156,mse,78
158,0.7837758442518767,mae,79
159,0.7774920734563656,mse,79
160,0.790550881332919,mae,80
