Intermediates,CO2_Fall_Off_Intermediate
CSCCC(=O)C(O)(CCSC)C(=O)O,CSCCC(=O)C(O)CCSC
CSCCC(=O)C(O)(Cc1ccc(O)cc1)C(=O)O;CSCCC(O)(C(=O)O)C(=O)Cc1ccc(O)cc1,CSCCC(O)C(=O)Cc1ccc(O)cc1;CSCCC(=O)C(O)Cc1ccc(O)cc1
CCCCCCC(O)(C(=O)O)C(=O)CCSC;CCCCCCC(=O)C(O)(CCSC)C(=O)O,CCCCCCC(=O)C(O)CCSC;CCCCCCC(O)C(=O)CCSC
CSCCC(=O)C(O)(Cc1cnc[nH]1)C(=O)O;CSCCC(O)(C(=O)O)C(=O)Cc1cnc[nH]1,CSCCC(O)C(=O)Cc1cnc[nH]1;CSCCC(=O)C(O)Cc1cnc[nH]1
CSCCC(=O)C(O)(CCCC(=O)O)C(=O)O;CSCCC(O)(C(=O)O)C(=O)CCCC(=O)O,CSCCC(=O)C(O)CCCC(=O)O;CSCCC(O)C(=O)CCCC(=O)O
CSCCC(=O)C(O)(C(=O)O)C(C)(C)C;CSCCC(O)(C(=O)O)C(=O)C(C)(C)C,CSCCC(=O)C(O)C(C)(C)C;CSCCC(O)C(=O)C(C)(C)C
CSCCC(O)(C(=O)O)C(=O)C(F)(F)F;CSCCC(=O)C(O)(C(=O)O)C(F)(F)F,CSCCC(=O)C(O)C(F)(F)F;CSCCC(O)C(=O)C(F)(F)F
CSCCC(O)(C(=O)O)C(=O)c1c(C)cc(C)cc1C;CSCCC(=O)C(O)(C(=O)O)c1c(C)cc(C)cc1C,CSCCC(O)C(=O)c1c(C)cc(C)cc1C;CSCCC(=O)C(O)c1c(C)cc(C)cc1C
CCC(C)C(O)(C(=O)O)C(=O)CCSC;CCC(C)C(=O)C(O)(CCSC)C(=O)O,CCC(C)C(=O)C(O)CCSC;CCC(C)C(O)C(=O)CCSC
CCC(O)(C(=O)O)C(=O)CCSC;CCC(=O)C(O)(CCSC)C(=O)O,CCC(O)C(=O)CCSC;CCC(=O)C(O)CCSC
CSCCC(O)(C(=O)O)C(=O)CBr;CSCCC(=O)C(O)(CBr)C(=O)O,CSCCC(=O)C(O)CBr;CSCCC(O)C(=O)CBr
CSCCC(O)(C(=O)O)C(=O)Cc1ccccc1;CSCCC(=O)C(O)(Cc1ccccc1)C(=O)O,CSCCC(=O)C(O)Cc1ccccc1;CSCCC(O)C(=O)Cc1ccccc1
CCCC(O)(C(=O)O)C(=O)CCSC;CCCC(=O)C(O)(CCSC)C(=O)O,CCCC(=O)C(O)CCSC;CCCC(O)C(=O)CCSC
CSCCC(=O)C(O)(CC(C)C)C(=O)O;CSCCC(O)(C(=O)O)C(=O)CC(C)C,CSCCC(O)C(=O)CC(C)C;CSCCC(=O)C(O)CC(C)C
