SMILES,SMILES2,mass,m/z,RT
CSCCC(=O)C(=O)O,,148.0194,147.011575,0.31
O=C(O)C(=O)Cc1ccc(O)cc1,,180.0423,179.034475,0.36
CCCCCCC(=O)C(=O)O,,158.0943,157.086475,2.37
O=C(O)C(=O)Cc1cnc[nH]1,,154.0378,153.029975,0.11
O=C(O)CCCC(=O)C(=O)O,,160.0372,159.029375,0.16
CC(C)(C)C(=O)C(=O)O,,130.063,129.055175,0.46
O=C(O)C(=O)C(F)(F)F,,141.9878,140.979975,0.13
Cc1cc(C)c(C(=O)C(=O)O)c(C)c1,,192.0786,191.070775,1.89
OC(=O)C(=O)C(C)CC,,130.063,129.055175,0.66
CCC(=O)C(=O)O,,102.0317,101.023875,0.18
O=C(O)C(=O)Cc1ccccc1,,164.0473,163.039475,1.03
CCCC(=O)C(=O)O,,116.0473,115.039475,0.33
CC(C)CC(=O)C(=O)O,,130.063,129.055175,0.8
O=C(O)CCC(=O)C(=O)O,,146.0215,145.013675,0.13
CC(=O)C(=O)O,,88.016,87.008175,0.13
O=C(O)CCCCCC(=O)C(=O)O,,188.0685,187.060675,0.52
O=C(O)C(=O)c1ccccc1,,150.0317,149.023875,0.39
O=C(O)C(=O)c1c[nH]c2ccccc12,,189.0426,188.034775,1.19
O=C(O)CC(=O)C(=O)O,,132.0059,130.998075,0.13
O=C(O)C(=O)CO,,104.011,103.003175,0.11
OC(=O)C(=O)CCc1cccs1,,184.0194,183.011575,1.48
CC(C)N(O)C(=O)C(O)=O,,147.0532,146.045375,0.16
CCOC(=O)c1csc(n1)C(C#N)C(=O)C(O)=O,,268.0154,267.007575,1.55
OC(=O)C(=O)NC1(CCCCC1)c1ccc(Cl)s1,,287.0383,286.030475,3.34
OC(=O)C(=O)Nc1sc2CCCCc2c1C(O)=O,,269.0358,268.027975,2.41
CC(=O)C(O)(C(=O)O)C(C)(C)C,CC(C)(C)C(=O)C(C)(O)C(=O)O,174.0892,173.081813,1.367733
CC(=O)C(O)C(C)(C)C,CC(O)C(=O)C(C)(C)C,130.0994,129.091979,1.367733
CCC(C)C(O)C(=O)CO,CCC(C)C(=O)C(O)CO,146.0943,145.086522,2.815917
O=C(Cc1ccc2ccccc2n1)C(O)Cc1ccc2ccccc2n1,,342.1368,341.12889,4.482433
O=C(O)C(O)(CCc1cccs1)C(=O)Cc1ccc(O)cc1,O=C(O)C(O)(Cc1ccc(O)cc1)C(=O)CCc1cccs1,320.0718,321.079524,0.229817
CCCC(=O)C(O)(Cc1cnc[nH]1)C(=O)O,CCCC(O)(C(=O)O)C(=O)Cc1cnc[nH]1,226.0954,225.088885,4.524783
O=C(O)CCCCCC(=O)C(O)CCCCCC(=O)O,,288.1573,87.150302,4.44845
